 disease ,drug,zscore,,,
C0085612,DB00281,-3.588124604,,,
C0085612,DB00379,-1.737433696,,,
C0085612,DB00680,-3.944078523,1,1.93,0.235796522
C0085612,DB01056,-2.943058704,1,1.833,0.283038867
C0085612,DB01158,0.19953879,2,1.945,0.275635629
C0085612,DB01429,-4.264708544,0.5,1.794,0.3034205
C0085612,DB01580,-0.427762916,1.5,1.617,0.273515996
C0085610,DB00424,0.105344248,,,
C0085606,DB00209,-1.920306725,,,
C0085606,DB00496,1.405883113,,,
C0085606,DB01036,0.741885343,2.1,2.0096,0.121851713
C0085606,DB01062,1.201094973,2.2,2.0068,0.160853225
C0085606,DB01148,-0.210640919,2,2.03825,0.181588649
C0085606,DB01591,-0.57456465,1.8,1.8924,0.160817412
C0085606,DB06702,1.201094973,2.2,2.0068,0.160853225
C0079773,DB00004,-3.100235338,,,
C0079773,DB00223,0.334340549,,,
C0079773,DB00240,0.55621516,,,
C0079773,DB00288,-1.110738365,,,
C0079773,DB00307,0.282692437,,,
C0079773,DB00443,-0.020718593,,,
C0079773,DB00547,-0.366159965,,,
C0079773,DB00553,0.286701177,1.75,1.71325,0.128182243
C0079773,DB00588,-0.209082825,1,1.066,0.315664379
C0079773,DB00591,-0.371449563,1,1.086,0.231525377
C0079773,DB00596,-0.371449563,1,1.086,0.231525377
C0079773,DB00620,-0.254797139,1.727272727,1.750545455,0.09133826
C0079773,DB00635,-1.233577026,1.677419355,1.775580645,0.079574512
C0079773,DB00663,-0.22456649,1,1.073,0.325070762
C0079773,DB00741,-1.46218054,1.5,1.615555556,0.079029608
C0079773,DB00764,0.628008594,1.5,1.3055,0.309709138
C0079773,DB00838,0.334340549,1.666666667,1.585,0.244261927
C0079773,DB00846,0.168951082,1.333333333,1.296666667,0.217025344
C0079773,DB00860,-1.050474297,1.666666667,1.759875,0.088729761
C0079773,DB00888,-1.336231761,1,1.641,0.479707202
C0079773,DB00959,-3.362635975,1.2,1.561466667,0.107495033
C0079773,DB01047,0.168951082,1.333333333,1.296666667,0.217025344
C0079773,DB01130,-0.288771408,1.25,1.3125,0.21643417
C0079773,DB01234,-1.097374365,1.632911392,1.698189873,0.059486063
C0079773,DB01260,0.468419616,1.333333333,1.227333333,0.226292829
C0079773,DB01380,-0.209082825,1,1.066,0.315664379
C0079773,DB02546,-2.854886787,1.282608696,1.503565217,0.077395896
C0079773,DB06176,-2.397589539,1.210526316,1.477684211,0.111427703
C0079773,DB06603,-2.738280642,1.176470588,1.493882353,0.115916448
C0079773,DB06786,-1.019730817,1,1.232333333,0.227837905
C0079744,DB00262,-0.755439225,,,
C0079744,DB00290,-2.620527906,,,
C0079744,DB00541,-1.779152814,,,
C0079744,DB00635,-0.220026036,1.516129032,1.534967742,0.085620366
C0079744,DB00997,-2.912377816,1.260869565,1.424413043,0.056154623
C0079744,DB01234,-2.12781819,1.341772152,1.455481013,0.053439181
C0043352,DB01085,-2.758554286,1.461538462,1.753769231,0.105936204
C0043037,DB00724,0.524270699,2,1.897333333,0.195827589
C0042963,DB00420,-0.336267056,,,
C0042963,DB00508,-0.733493285,,,
C0042963,DB00985,0.57023687,2,1.8185,0.318288784
C0042900,DB00553,2.812483744,2,1.676875,0.114889553
C0042900,DB04571,0.3935206,2,1.907,0.236328162
C0042571,DB00568,-0.720574313,1.285714286,1.388,0.141950264
C0042571,DB00737,-0.062817035,1.833333333,1.843666667,0.164498902
C0042571,DB00985,0.23874984,2,1.939,0.255497554
C0042571,DB01231,0.401132413,1.8,1.7218,0.194948096
C0042510,DB01118,-3.561585925,1.666666667,1.974714286,0.086491699
C0042510,DB01158,-3.022650209,1,1.919,0.304037827
C0042373,DB00797,0.623104892,2,1.837,0.261593196
C0042373,DB08941,2.804195804,3,2.198,0.286
C0042345,DB06811,-0.331478376,1,1.132,0.398216022
C0042164,DB00253,-2.807320416,,,
C0042164,DB00324,-3.014580889,,,
C0042164,DB00620,-3.265035426,1.409090909,1.720681818,0.095432627
C0042164,DB00741,-3.742569221,1.277777778,1.586444444,0.082474538
C0042164,DB00747,-1.811040291,1.5,1.9085,0.225560967
C0042164,DB00858,-0.127943456,1,1.037,0.289190249
C0042164,DB00860,-2.918286813,1.458333333,1.732833333,0.094062036
C0042164,DB00896,-2.447505304,1,1.507,0.207149704
C0042164,DB00994,1.763209427,2.25,1.86325,0.219344335
C0042164,DB01234,-3.065894967,1.481012658,1.667341772,0.060774787
C0042164,DB01380,-3.503078525,0,1.037,0.296025337
C0042133,DB08867,-2.772753904,0,1.482,0.53448667
C0042109,DB00283,0.879120689,,,
C0042109,DB00366,1.01406476,,,
C0042109,DB00405,1.01406476,,,
C0042109,DB00420,0.262556896,,,
C0042109,DB00427,1.01406476,,,
C0042109,DB00434,1.565859368,,,
C0042109,DB00557,1.068910563,2.125,1.984,0.131910007
C0042109,DB00719,0.322748612,2,1.9,0.309838668
C0042109,DB00748,-2.087844387,1.5,1.933,0.207390935
C0042109,DB00792,0.322748612,2,1.9,0.309838668
C0042109,DB00835,0.322748612,2,1.9,0.309838668
C0042109,DB00902,0.322748612,2,1.9,0.309838668
C0042109,DB01069,-0.284658894,1.733333333,1.764533333,0.109604866
C0042109,DB01084,0.322748612,2,1.9,0.309838668
C0042109,DB01114,1.498257707,2.25,1.96725,0.188719203
C0042109,DB01146,1.843091133,2.5,2.032,0.253921248
C0042109,DB01246,0.322748612,2,1.9,0.309838668
C0042109,DB01619,0.322748612,2,1.9,0.309838668
C0042109,DB01620,0.322748612,2,1.9,0.309838668
C0042109,DB06691,1.151057969,2.142857143,1.987285714,0.135155164
C0042109,DB08799,1.843091133,2.5,2.032,0.253921248
C0042109,DB09555,0.322748612,2,1.9,0.309838668
C0042024,DB00940,1.906678893,2.333333333,1.855333333,0.250697693
C0042024,DB01148,0.738253583,2,1.843,0.212664054
C0041327,DB00260,-0.16698964,,,
C0041327,DB00330,-0.489221686,,,
C0041327,DB00339,0.932411005,,,
C0041327,DB00951,1.373818123,2.076923077,1.923307692,0.111816391
C0041327,DB01045,1.714700154,2.222222222,2.059888889,0.094671557
C0041327,DB01082,0.566572116,2,1.757,0.428895092
C0041327,DB01201,-0.378923324,1.5,1.6155,0.304811007
C0040147,DB00443,0.074641045,,,
C0040147,DB00620,-0.589334362,1.681818182,1.738681818,0.096487902
C0040147,DB00635,-1.620817564,1.612903226,1.760225806,0.090893993
C0040147,DB00741,-1.476429681,1.472222222,1.601777778,0.087749222
C0040147,DB00860,-2.218387162,1.541666667,1.748916667,0.093423729
C0040147,DB00959,-3.167432597,1.2,1.555466667,0.112225487
C0040147,DB01234,-2.012785765,1.556962025,1.687848101,0.065027326
C0040147,DB01380,-0.231101221,1,1.078,0.337514444
C0040053,DB00266,-1.586379233,,,
C0040053,DB00682,-9.385787742,1.305555556,1.894416667,0.062739658
C0040053,DB00946,-6.004409807,0.857142857,1.838571429,0.163451297
C0040038,DB00266,-0.895266022,,,
C0040038,DB00682,-2.096604203,1.916666667,2.049805556,0.063502157
C0040038,DB00946,-1.068434608,1.857142857,2,0.13370696
C0040034,DB00038,-0.076117661,,,
C0039685,DB00770,-0.073086486,1.875,1.8855,0.14366541
C0039621,DB01070,-1.678330686,1,1.738,0.43972264
C0039240,DB00187,0.230045018,,,
C0039240,DB00571,0.45323014,2,1.9499375,0.110457129
C0038525,DB00393,-1.886594066,,,
C0038454,DB00175,-6.36587288,,,
C0038454,DB00178,-4.663990814,,,
C0038454,DB00381,-1.84596915,,,
C0038454,DB00641,-4.764061397,1.188679245,1.50754717,0.066931951
C0038454,DB00966,-1.377854927,1,1.201285714,0.14608629
C0038454,DB01076,-5.672836312,1.120689655,1.480706897,0.063463358
C0038454,DB01098,-0.24964899,1.545454545,1.581636364,0.144930761
C0038454,DB09030,-2.555672376,1,1.694666667,0.271813662
C0038436,DB00715,-2.652979188,1.608695652,1.851347826,0.091464032
