disease,drug,zscore,d,mean,sd
C0030193,DB00415,0.9224140640463255,1.5454545454545454,1.4117272727272727,0.1449753185035529
C0030193,DB01275,-2.736186572279515,1.2142857142857142,1.5354285714285714,0.11736877170452353
C0007131,DB00916,-2.2899636166651534,0.75,1.28225,0.23242727357175622
C0029408,DB00420,1.4220630934072123,1.588235294117647,1.4245294117647058,0.11511857885342323
C0004364,DB04946,0.3579873131219842,1.6666666666666667,1.6227333333333336,0.12272315728228858
C0014553,DB00620,-1.1012344027505157,1.9090909090909092,2.0166363636363633,0.09765900363886339
C1384606,DB06691,0.2607666865592891,2.142857142857143,2.1094285714285714,0.12819341254685496
C0002962,DB00227,-1.4859551013976837,1.829268292682927,1.9283902439024392,0.06670588574734092
C0011615,DB01197,-0.8404883495688777,1.6923076923076923,1.7919230769230772,0.11852083930310497
C0033975,DB00860,-2.710459185387359,1.25,1.4886666666666666,0.08805396072863503
C0017168,DB01130,-0.4322558980195142,1.0,1.0605,0.1399633880698806
C0042164,DB00888,-1.2638839335170762,1.0,1.615,0.48659531440407444
C0038013,DB00585,-1.5421013670407635,1.5,2.0095,0.3303933262037839
C0002888,DB08897,3.062850442932243,2.6,2.1024,0.162463041951085
C0079744,DB00798,0.6635504650759476,1.65,1.5806499999999999,0.1045135278325251
C0079773,DB00972,-2.274546159643217,1.0,1.842,0.3701837381625508
C0020538,DB00860,-5.45328114232377,0.7083333333333334,1.2069166666666664,0.09142813662471014
C0524910,DB01270,-1.3918861745267337,1.75,1.93575,0.13345200448101183
C0035258,DB01200,-1.4251449135838326,1.6875,1.827125,0.09797249295082779
C0019202,DB01307,0.6251564477350009,2.0,1.719,0.449487485921466
C0023449,DB00387,0.4602374036770886,1.75,1.643,0.23248870940327404
C0020473,DB00136,0.8183973719767406,1.8,1.6869,0.1381969247125275
C0242350,DB00396,0.41110840092620393,1.6515151515151516,1.628939393939394,0.05491436692827437
C0004096,DB01364,-1.5207021126364386,0.6666666666666666,0.9796666666666666,0.205825978276148
C0740394,DB00669,0.0019785754640190647,1.8461538461538463,1.8459230769230774,0.11663403037458718
C0008677,DB00681,2.5648403289297583,2.2857142857142856,1.8977142857142857,0.15127647348008688
C0030193,DB00692,-3.4773012481355505,1.0,1.524,0.1506915744734388
C0020538,DB00388,-6.0839166326358765,0.42857142857142855,1.0535,0.10271813523483789
C0028754,DB00179,-2.2912878474779204,0.0,0.84,0.36660605559646714
C0917798,DB00945,-2.9171646678488403,1.3380281690140845,1.5309718309859155,0.06614081957674006
C0038454,DB08890,0.4284081615347787,2.0,1.827,0.40382050467998776
C0028840,DB01219,2.9101151181919724,2.375,1.98175,0.13513211128373598
C0024623,DB00625,-1.7512316864211122,1.0476190476190477,1.208142857142857,0.0916633765643324
C0027819,DB04845,0.14162338716622191,1.1428571428571428,1.1317619047619045,0.07834326178215115
